288,"Sidi Ahmed Air Base","Bizerte","Tunisia",37.2454,9.79145
289,"Remada Air Base","Remada","Tunisia",32.3062,10.3821
290,"Gafsa Ksar International Airport","Gafsa","Tunisia",34.422,8.8225
291,"Gabès Matmata International Airport","Gabes","Tunisia",33.8769,10.1033
292,"Borj El Amri Airport","Bordj El Amri","Tunisia",36.7213,9.94315
293,"Djerba Zarzis International Airport","Djerba","Tunisia",33.875,10.7755
294,"El Borma Airport","El Borma","Tunisia",31.7043,9.25462
295,"Sfax Thyna International Airport","Sfax","Tunisia",34.718,10.691
296,"Tozeur Nefta International Airport","Tozeur","Tunisia",33.9397,8.11056
297,"Niamtougou International Airport","Niatougou","Togo",9.76733,1.09125
298,"Lomé-Tokoin Airport","Lome","Togo",6.16561,1.25451
299,"Antwerp International Airport (Deurne)","Antwerp","Belgium",51.1894,4.46028
300,"Beauvechain Air Base","Beauvechain","Belgium",50.7586,4.76833
301,"Kleine Brogel Air Base","Kleine Brogel","Belgium",51.1683,5.47
302,"Brussels Airport","Brussels","Belgium",50.9014,4.48444
303,"Jehonville Air Base","Bertrix","Belgium",49.8917,5.22389
304,"Brussels South Charleroi Airport","Charleroi","Belgium",50.4592,4.45382
305,"Chièvres Air Base","Chievres","Belgium",50.5758,3.831
306,"Koksijde Air Base","Koksijde","Belgium",51.0903,2.65278
307,"Florennes Air Base","Florennes","Belgium",50.2433,4.64583
308,"Wevelgem Airport","Kortrijk-vevelgem","Belgium",50.8172,3.20472
309,"Liège Airport","Liege","Belgium",50.6374,5.44322
310,"Ostend-Bruges International Airport","Ostend","Belgium",51.1989,2.86222
311,"Zutendaal Air Base","Zutendaal","Belgium",50.9475,5.59056
312,"Brustem Airfield Sint Truiden","Sint-truiden","Belgium",50.7919,5.20167
313,"Saint Hubert Air Base","St.-hubert","Belgium",50.0344,5.44081
314,"Ursel Air Base","Ursel","Belgium",51.1442,3.47556
315,"Weelde Air Base","Weelde","Belgium",51.3948,4.96019
316,"Zoersel (Oostmalle) Airfield","Zoersel","Belgium",51.2647,4.75333
317,"Flugplatz Bautzen","Bautzen","Germany",51.1936,14.5197
318,"Altenburg-Nobitz Airport","Altenburg","Germany",50.9819,12.5064
319,"Dessau Airfield","Dessau","Germany",51.8317,12.191
320,"Eisenhüttenstadt Airfield","Eisenhuettenstadt","Germany",52.1959,14.5875
322,"Großenhain Airport","Suhl","Germany",51.3081,13.5556
323,"Merseburg Airport","Muehlhausen","Germany",51.3631,11.9408
324,"Halle-Oppin Airport","Halle","Germany",51.5522,12.0539
325,"Riesa-Göhlis Airport","Riesa","Germany",51.2936,13.3561
326,"Rechlin-Lärz Airport","Rechlin-laerz","Germany",53.3064,12.7522
327,"Strausberg Airport","Strausberg","Germany",52.5806,13.9167
328,"Schönhagen Airport","Schoenhagen","Germany",52.2036,13.1564
329,"Barth Airport","Barth","Germany",54.3383,12.7105
330,"Jena-Schöngleina Airfield","Jena","Germany",50.9153,11.7144
331,"Kyritz Airport","Kyritz","Germany",52.9189,12.4253
332,"Magdeburg ""City"" Airport","Magdeburg","Germany",52.0736,11.6264
333,"Rothenburg/Görlitz Airport","Rothenburg/ol","Germany",51.3633,14.95
334,"Anklam Airfield","Anklam","Germany",53.8328,13.6686
335,"Cottbus-Drewitz Airport","Cottbus","Germany",51.8894,14.5319
336,"Kamenz Airport","Kamenz","Germany",51.2969,14.1275
337,"Berlin-Schönefeld Airport","Berlin","Germany",52.38,13.5225
338,"Dresden Airport","Dresden","Germany",51.1328,13.7672
339,"Erfurt Airport","Erfurt","Germany",50.9798,10.9581
340,"Frankfurt am Main Airport","Frankfurt","Germany",50.0333,8.57056
341,"Münster Osnabrück Airport","Munster","Germany",52.1346,7.68483
342,"Hamburg Airport","Hamburg","Germany",53.6304,9.98823
343,"Berlin-Tempelhof International Airport","Berlin","Germany",52.473,13.4039
344,"Cologne Bonn Airport","Cologne","Germany",50.8659,7.14274
345,"Düsseldorf Airport","Duesseldorf","Germany",51.2895,6.76678
346,"Munich Airport","Munich","Germany",48.3538,11.7861
347,"Nuremberg Airport","Nuernberg","Germany",49.4987,11.0781
348,"Leipzig/Halle Airport","Leipzig","Germany",51.4239,12.2364
349,"Saarbrücken Airport","Saarbruecken","Germany",49.2146,7.10951
350,"Stuttgart Airport","Stuttgart","Germany",48.6899,9.22196
351,"Berlin-Tegel Airport","Berlin","Germany",52.5597,13.2877
352,"Hannover Airport","Hannover","Germany",52.4611,9.68508
353,"Bremen Airport","Bremen","Germany",53.0475,8.78667
354,"Frankfurt-Egelsbach Airport","Egelsbach","Germany",49.96,8.64583
355,"Frankfurt-Hahn Airport","Hahn","Germany",49.9487,7.26389
356,"Mannheim-City Airport","Mannheim","Germany",49.4731,8.51417
357,"Allendorf/Eder Airport","Allendorf","Germany",51.035,8.68083
358,"Worms Airport","Worms","Germany",49.6069,8.36833
359,"Mainz-Finthen Airport","Mainz","Germany",49.9675,8.14722
360,"Eisenach-Kindel Airport","Eisenach","Germany",50.9916,10.4797
